month,division,line,day_type,category,count
2024-10-01T00:00:00.000,A DIVISION,1,1,Signals,3
2024-10-01T00:00:00.000,A DIVISION,1,1,Other,1
2024-10-01T00:00:00.000,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2024-10-01T00:00:00.000,A DIVISION,2,1,Other,1
2024-10-01T00:00:00.000,A DIVISION,2,1,Signals,1
2024-10-01T00:00:00.000,A DIVISION,3,1,Signals,1
2024-10-01T00:00:00.000,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2024-10-01T00:00:00.000,A DIVISION,3,1,Track,1
2024-10-01T00:00:00.000,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2024-10-01T00:00:00.000,A DIVISION,4,1,Subway Car,1
2024-10-01T00:00:00.000,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2024-10-01T00:00:00.000,A DIVISION,5,2,Track,1
2024-10-01T00:00:00.000,A DIVISION,5,1,Track,1
2024-10-01T00:00:00.000,A DIVISION,5,1,Signals,2
2024-10-01T00:00:00.000,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2024-10-01T00:00:00.000,A DIVISION,6,1,Subway Car,2
2024-10-01T00:00:00.000,A DIVISION,6,1,Signals,1
2024-10-01T00:00:00.000,A DIVISION,7,1,Track,1
2024-10-01T00:00:00.000,B DIVISION,A,1,Subway Car,1
2024-10-01T00:00:00.000,B DIVISION,A,1,Signals,2
2024-10-01T00:00:00.000,B DIVISION,B,1,Persons on Trackbed/Police/Medical,2
2024-10-01T00:00:00.000,B DIVISION,B,1,Track,2
2024-10-01T00:00:00.000,B DIVISION,B,1,Signals,1
2024-10-01T00:00:00.000,B DIVISION,C,1,Signals,1
2024-10-01T00:00:00.000,B DIVISION,C,1,Other,1
2024-10-01T00:00:00.000,B DIVISION,D,1,Other,1
2024-10-01T00:00:00.000,B DIVISION,D,1,Signals,1
2024-10-01T00:00:00.000,B DIVISION,E,1,Signals,1
2024-10-01T00:00:00.000,B DIVISION,F,1,Track,1
2024-10-01T00:00:00.000,B DIVISION,M,1,Signals,1
