date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2020-03,2212965,0.97,2281407
2020-03,5329915,0.96,5551994
2020-03,5481103,0.98,5592962
2020-03,5498809,0.99,5554352
2020-03,5496453,0.99,5551972
2020-03,5189447,0.93,5580050
2020-03,2814637,0.92,3059388
2020-03,2120656,0.93,2280275
2020-03,4973513,0.89,5588216
2020-03,4867818,0.87,5595193
2020-03,4697122,0.84,5591811
2020-03,4149505,0.75,5532673
2020-03,3484996,0.63,5531739
2020-03,1670665,0.54,3093824
2020-03,1157711,0.51,2270021
2020-03,2178555,0.39,5586038
2020-03,1788786,0.32,5589956
2020-03,1625280,0.29,5604413
2020-03,1422112,0.26,5469661
2020-03,1309125,0.24,5454687
2020-03,619618,0.2,3098090
2020-03,408723,0.18,2270683
2020-03,709499,0.13,5457684
2020-03,741587,0.13,5704515
2020-03,690032,0.12,5750266
2020-03,680360,0.12,5669666
2020-03,656817,0.12,5473475
2020-03,332393,0.11,3021754
2020-03,263700,0.12,2197500
2020-03,545215,0.1,5452150
2020-03,508106,0.09,5645622
2020-04,513481,0.09,5705344
2020-04,485586,0.09,5395400
2020-04,483357,0.09,5370633
2020-04,282278,0.09,3136422
2020-04,227303,0.09,2525588
2020-04,445454,0.08,5568175
2020-04,434986,0.08,5437325
2020-04,427485,0.08,5343562
2020-04,404635,0.07,5780499
2020-04,400275,0.07,5718214
2020-04,257061,0.08,3213262
2020-04,198399,0.08,2479987
2020-04,363312,0.07,5190171
2020-04,430155,0.08,5376937
2020-04,419059,0.08,5238237
2020-04,420223,0.08,5252787
2020-04,432368,0.08,5404600
2020-04,254453,0.08,3180662
2020-04,224411,0.09,2493455
2020-04,437852,0.08,5473150
2020-04,422107,0.08,5276337
2020-04,458781,0.08,5734762
2020-04,453520,0.08,5669000
2020-04,443956,0.08,5549450
2020-04,295387,0.09,3282077
2020-04,218787,0.09,2430966
2020-04,462888,0.08,5786100
2020-04,489247,0.09,5436077
2020-04,477799,0.09,5308877
2020-04,465869,0.08,5823362
2020-05,494549,0.09,5494988
2020-05,325865,0.1,3258650
2020-05,258865,0.11,2353318
2020-05,511866,0.09,5687400
2020-05,522085,0.09,5800944
2020-05,508824,0.09,5653600
2020-05,535073,0.09,5945255
2020-05,526054,0.09,5845044
2020-05,316883,0.1,3168830
2020-05,271947,0.11,2472245
2020-05,520873,0.09,5787477
2020-05,553372,0.1,5533720
